Target	Regulator
ENSMUSG00000000489	mmu-miR-226-5p
ENSMUSG00000000489	mmu-miR-235-5p
ENSMUSG00000000489	mmu-miR-238-5p
ENSMUSG00000000581	mmu-miR-202-5p
ENSMUSG00000000581	mmu-miR-214-5p
ENSMUSG00000000581	mmu-miR-222-5p
ENSMUSG00000001467	mmu-miR-203-5p
ENSMUSG00000001467	mmu-miR-212-5p
ENSMUSG00000001467	mmu-miR-213-5p
ENSMUSG00000002308	mmu-miR-204-5p
ENSMUSG00000002308	mmu-miR-217-5p
ENSMUSG00000002308	mmu-miR-218-5p
ENSMUSG00000002395	mmu-miR-217-5p
ENSMUSG00000002395	mmu-miR-218-5p
ENSMUSG00000002395	mmu-miR-231-5p
ENSMUSG00000002455	mmu-miR-206-5p
ENSMUSG00000002455	mmu-miR-215-5p
ENSMUSG00000002455	mmu-miR-221-5p
ENSMUSG00000002814	mmu-miR-230-5p
ENSMUSG00000002814	mmu-miR-232-5p
ENSMUSG00000002814	mmu-miR-233-5p
ENSMUSG00000002963	mmu-miR-212-5p
ENSMUSG00000002963	mmu-miR-225-5p
ENSMUSG00000002963	mmu-miR-226-5p
ENSMUSG00000005057	mmu-miR-217-5p
ENSMUSG00000005057	mmu-miR-235-5p
ENSMUSG00000005057	mmu-miR-238-5p
ENSMUSG00000006344	mmu-miR-210-5p
ENSMUSG00000006344	mmu-miR-225-5p
ENSMUSG00000006344	mmu-miR-230-5p
ENSMUSG00000006728	mmu-miR-206-5p
ENSMUSG00000006728	mmu-miR-215-5p
ENSMUSG00000006728	mmu-miR-234-5p
ENSMUSG00000007080	mmu-miR-207-5p
ENSMUSG00000007080	mmu-miR-220-5p
ENSMUSG00000007080	mmu-miR-239-5p
ENSMUSG00000007207	mmu-miR-202-5p
ENSMUSG00000007207	mmu-miR-209-5p
ENSMUSG00000007207	mmu-miR-220-5p
ENSMUSG00000008859	mmu-miR-210-5p
ENSMUSG00000008859	mmu-miR-214-5p
ENSMUSG00000008859	mmu-miR-230-5p
ENSMUSG00000009907	mmu-miR-206-5p
ENSMUSG00000009907	mmu-miR-214-5p
ENSMUSG00000009907	mmu-miR-234-5p
ENSMUSG00000010392	mmu-miR-214-5p
ENSMUSG00000010392	mmu-miR-228-5p
ENSMUSG00000010392	mmu-miR-234-5p
ENSMUSG00000011096	mmu-miR-205-5p
ENSMUSG00000011096	mmu-miR-213-5p
ENSMUSG00000011096	mmu-miR-222-5p
ENSMUSG00000014294	mmu-miR-218-5p
ENSMUSG00000014294	mmu-miR-233-5p
ENSMUSG00000014294	mmu-miR-234-5p
ENSMUSG00000014776	mmu-miR-216-5p
ENSMUSG00000014776	mmu-miR-219-5p
ENSMUSG00000014776	mmu-miR-223-5p
ENSMUSG00000015605	mmu-miR-209-5p
ENSMUSG00000015605	mmu-miR-213-5p
ENSMUSG00000015605	mmu-miR-226-5p
ENSMUSG00000016921	mmu-miR-222-5p
ENSMUSG00000016921	mmu-miR-227-5p
ENSMUSG00000016921	mmu-miR-230-5p
ENSMUSG00000017716	mmu-miR-222-5p
ENSMUSG00000017716	mmu-miR-225-5p
ENSMUSG00000017716	mmu-miR-227-5p
ENSMUSG00000018401	mmu-miR-202-5p
ENSMUSG00000018401	mmu-miR-206-5p
ENSMUSG00000018401	mmu-miR-235-5p
ENSMUSG00000019087	mmu-miR-210-5p
ENSMUSG00000019087	mmu-miR-211-5p
ENSMUSG00000019087	mmu-miR-221-5p
ENSMUSG00000019518	mmu-miR-202-5p
ENSMUSG00000019518	mmu-miR-231-5p
ENSMUSG00000019518	mmu-miR-234-5p
ENSMUSG00000019888	mmu-miR-223-5p
ENSMUSG00000019888	mmu-miR-226-5p
ENSMUSG00000019888	mmu-miR-235-5p
ENSMUSG00000019935	mmu-miR-231-5p
ENSMUSG00000019935	mmu-miR-234-5p
ENSMUSG00000019935	mmu-miR-238-5p
ENSMUSG00000019989	mmu-miR-202-5p
ENSMUSG00000019989	mmu-miR-209-5p
ENSMUSG00000019989	mmu-miR-213-5p
ENSMUSG00000019998	mmu-miR-206-5p
ENSMUSG00000019998	mmu-miR-218-5p
ENSMUSG00000019998	mmu-miR-234-5p
ENSMUSG00000020260	mmu-miR-203-5p
ENSMUSG00000020260	mmu-miR-206-5p
ENSMUSG00000020260	mmu-miR-230-5p
ENSMUSG00000020388	mmu-miR-203-5p
ENSMUSG00000020388	mmu-miR-225-5p
ENSMUSG00000020388	mmu-miR-230-5p
ENSMUSG00000020471	mmu-miR-203-5p
ENSMUSG00000020471	mmu-miR-220-5p
ENSMUSG00000020471	mmu-miR-221-5p
ENSMUSG00000020630	mmu-miR-205-5p
ENSMUSG00000020630	mmu-miR-206-5p
ENSMUSG00000020630	mmu-miR-223-5p
ENSMUSG00000020868	mmu-miR-203-5p
ENSMUSG00000020868	mmu-miR-210-5p
ENSMUSG00000020868	mmu-miR-234-5p
ENSMUSG00000020894	mmu-miR-205-5p
ENSMUSG00000020894	mmu-miR-207-5p
ENSMUSG00000020894	mmu-miR-228-5p
ENSMUSG00000020946	mmu-miR-214-5p
ENSMUSG00000020946	mmu-miR-217-5p
ENSMUSG00000020946	mmu-miR-229-5p
ENSMUSG00000020974	mmu-miR-203-5p
ENSMUSG00000020974	mmu-miR-204-5p
ENSMUSG00000020974	mmu-miR-239-5p
ENSMUSG00000021360	mmu-miR-209-5p
ENSMUSG00000021360	mmu-miR-210-5p
ENSMUSG00000021360	mmu-miR-232-5p
ENSMUSG00000021538	mmu-miR-214-5p
ENSMUSG00000021538	mmu-miR-222-5p
ENSMUSG00000021538	mmu-miR-231-5p
ENSMUSG00000021636	mmu-miR-219-5p
ENSMUSG00000021636	mmu-miR-223-5p
ENSMUSG00000021636	mmu-miR-226-5p
ENSMUSG00000021775	mmu-miR-210-5p
ENSMUSG00000021775	mmu-miR-213-5p
ENSMUSG00000021775	mmu-miR-238-5p
ENSMUSG00000022350	mmu-miR-202-5p
ENSMUSG00000022350	mmu-miR-221-5p
ENSMUSG00000022350	mmu-miR-222-5p
ENSMUSG00000022435	mmu-miR-206-5p
ENSMUSG00000022435	mmu-miR-229-5p
ENSMUSG00000022435	mmu-miR-230-5p
ENSMUSG00000022453	mmu-miR-203-5p
ENSMUSG00000022453	mmu-miR-221-5p
ENSMUSG00000022453	mmu-miR-234-5p
ENSMUSG00000022517	mmu-miR-218-5p
ENSMUSG00000022517	mmu-miR-219-5p
ENSMUSG00000022517	mmu-miR-224-5p
ENSMUSG00000022545	mmu-miR-206-5p
ENSMUSG00000022545	mmu-miR-219-5p
ENSMUSG00000022545	mmu-miR-235-5p
ENSMUSG00000022765	mmu-miR-201-5p
ENSMUSG00000022765	mmu-miR-222-5p
ENSMUSG00000022765	mmu-miR-230-5p
ENSMUSG00000022766	mmu-miR-223-5p
ENSMUSG00000022766	mmu-miR-230-5p
ENSMUSG00000022766	mmu-miR-239-5p
ENSMUSG00000022779	mmu-miR-208-5p
ENSMUSG00000022779	mmu-miR-221-5p
ENSMUSG00000022779	mmu-miR-230-5p
ENSMUSG00000022793	mmu-miR-201-5p
ENSMUSG00000022793	mmu-miR-202-5p
ENSMUSG00000022793	mmu-miR-216-5p
ENSMUSG00000023921	mmu-miR-210-5p
ENSMUSG00000023921	mmu-miR-230-5p
ENSMUSG00000023921	mmu-miR-238-5p
ENSMUSG00000024085	mmu-miR-217-5p
ENSMUSG00000024085	mmu-miR-220-5p
ENSMUSG00000024085	mmu-miR-221-5p
ENSMUSG00000024456	mmu-miR-203-5p
ENSMUSG00000024456	mmu-miR-206-5p
ENSMUSG00000024456	mmu-miR-222-5p
ENSMUSG00000024620	mmu-miR-202-5p
ENSMUSG00000024620	mmu-miR-203-5p
ENSMUSG00000024620	mmu-miR-214-5p
ENSMUSG00000024781	mmu-miR-206-5p
ENSMUSG00000024781	mmu-miR-228-5p
ENSMUSG00000024781	mmu-miR-237-5p
ENSMUSG00000024807	mmu-miR-227-5p
ENSMUSG00000024807	mmu-miR-231-5p
ENSMUSG00000024807	mmu-miR-234-5p
ENSMUSG00000024887	mmu-miR-210-5p
ENSMUSG00000024887	mmu-miR-225-5p
ENSMUSG00000024887	mmu-miR-229-5p
ENSMUSG00000025138	mmu-miR-218-5p
ENSMUSG00000025138	mmu-miR-222-5p
ENSMUSG00000025138	mmu-miR-234-5p
ENSMUSG00000025395	mmu-miR-213-5p
ENSMUSG00000025395	mmu-miR-223-5p
ENSMUSG00000025395	mmu-miR-232-5p
ENSMUSG00000025464	mmu-miR-205-5p
ENSMUSG00000025464	mmu-miR-214-5p
ENSMUSG00000025464	mmu-miR-229-5p
ENSMUSG00000025878	mmu-miR-221-5p
ENSMUSG00000025878	mmu-miR-223-5p
ENSMUSG00000025878	mmu-miR-236-5p
ENSMUSG00000026113	mmu-miR-203-5p
ENSMUSG00000026113	mmu-miR-210-5p
ENSMUSG00000026113	mmu-miR-222-5p
ENSMUSG00000026196	mmu-miR-201-5p
ENSMUSG00000026196	mmu-miR-213-5p
ENSMUSG00000026196	mmu-miR-232-5p
ENSMUSG00000026246	mmu-miR-209-5p
ENSMUSG00000026246	mmu-miR-218-5p
ENSMUSG00000026246	mmu-miR-231-5p
ENSMUSG00000026496	mmu-miR-214-5p
ENSMUSG00000026496	mmu-miR-218-5p
ENSMUSG00000026496	mmu-miR-238-5p
ENSMUSG00000026600	mmu-miR-201-5p
ENSMUSG00000026600	mmu-miR-219-5p
ENSMUSG00000026600	mmu-miR-226-5p
ENSMUSG00000026675	mmu-miR-212-5p
ENSMUSG00000026675	mmu-miR-214-5p
